"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Allen County, KS"	"20001"	0	12369	Unreliable
	"Anderson County, KS"	"20003"	0	7858	Unreliable
	"Atchison County, KS"	"20005"	Suppressed	16073	Suppressed
	"Barber County, KS"	"20007"	0	4427	Unreliable
	"Barton County, KS"	"20009"	Suppressed	25779	Suppressed
	"Bourbon County, KS"	"20011"	0	14534	Unreliable
	"Brown County, KS"	"20013"	0	9564	Unreliable
	"Butler County, KS"	"20015"	Suppressed	66911	Suppressed
	"Chase County, KS"	"20017"	0	2648	Unreliable
	"Chautauqua County, KS"	"20019"	Suppressed	3250	Suppressed
	"Cherokee County, KS"	"20021"	0	19939	Unreliable
	"Cheyenne County, KS"	"20023"	0	2657	Unreliable
	"Clark County, KS"	"20025"	0	1994	Unreliable
	"Clay County, KS"	"20027"	0	8002	Unreliable
	"Cloud County, KS"	"20029"	Suppressed	8786	Suppressed
	"Coffey County, KS"	"20031"	0	8179	Unreliable
	"Comanche County, KS"	"20033"	0	1700	Unreliable
	"Cowley County, KS"	"20035"	Suppressed	34908	Suppressed
	"Crawford County, KS"	"20037"	Suppressed	38818	Suppressed
	"Decatur County, KS"	"20039"	0	2827	Unreliable
	"Dickinson County, KS"	"20041"	0	18466	Unreliable
	"Doniphan County, KS"	"20043"	0	7600	Unreliable
	"Douglas County, KS"	"20045"	0	122259	Unreliable
	"Edwards County, KS"	"20047"	0	2798	Unreliable
	"Elk County, KS"	"20049"	0	2530	Unreliable
	"Ellis County, KS"	"20051"	Suppressed	28553	Suppressed
	"Ellsworth County, KS"	"20053"	0	6102	Unreliable
	"Finney County, KS"	"20055"	Suppressed	36467	Suppressed
	"Ford County, KS"	"20057"	Suppressed	33619	Suppressed
	"Franklin County, KS"	"20059"	0	25544	Unreliable
	"Geary County, KS"	"20061"	Suppressed	31670	Suppressed
	"Gove County, KS"	"20063"	0	2636	Unreliable
	"Graham County, KS"	"20065"	0	2482	Unreliable
	"Grant County, KS"	"20067"	0	7150	Unreliable
	"Gray County, KS"	"20069"	0	5988	Unreliable
	"Greeley County, KS"	"20071"	0	1232	Unreliable
	"Greenwood County, KS"	"20073"	0	5982	Unreliable
	"Hamilton County, KS"	"20075"	0	2539	Unreliable
	"Harper County, KS"	"20077"	0	5436	Unreliable
	"Harvey County, KS"	"20079"	0	34429	Unreliable
	"Haskell County, KS"	"20081"	0	3968	Unreliable
	"Hodgeman County, KS"	"20083"	0	1794	Unreliable
	"Jackson County, KS"	"20085"	0	13171	Unreliable
	"Jefferson County, KS"	"20087"	0	19043	Unreliable
	"Jewell County, KS"	"20089"	0	2879	Unreliable
	"Johnson County, KS"	"20091"	12	602401	Unreliable
	"Kearny County, KS"	"20093"	0	3838	Unreliable
	"Kingman County, KS"	"20095"	0	7152	Unreliable
	"Kiowa County, KS"	"20097"	0	2475	Unreliable
	"Labette County, KS"	"20099"	Suppressed	19618	Suppressed
	"Lane County, KS"	"20101"	0	1535	Unreliable
	"Leavenworth County, KS"	"20103"	Suppressed	81758	Suppressed
	"Lincoln County, KS"	"20105"	0	2962	Unreliable
	"Linn County, KS"	"20107"	0	9703	Unreliable
	"Logan County, KS"	"20109"	0	2794	Unreliable
	"Lyon County, KS"	"20111"	0	33195	Unreliable
	"McPherson County, KS"	"20113"	0	28542	Unreliable
	"Marion County, KS"	"20115"	0	11884	Unreliable
	"Marshall County, KS"	"20117"	0	9707	Unreliable
	"Meade County, KS"	"20119"	0	4033	Unreliable
	"Miami County, KS"	"20121"	0	34237	Unreliable
	"Mitchell County, KS"	"20123"	0	5979	Unreliable
	"Montgomery County, KS"	"20125"	Suppressed	31829	Suppressed
	"Morris County, KS"	"20127"	0	5620	Unreliable
	"Morton County, KS"	"20129"	0	2587	Unreliable
	"Nemaha County, KS"	"20131"	0	10231	Unreliable
	"Neosho County, KS"	"20133"	0	16007	Unreliable
	"Ness County, KS"	"20135"	0	2750	Unreliable
	"Norton County, KS"	"20137"	0	5361	Unreliable
	"Osage County, KS"	"20139"	0	15949	Unreliable
	"Osborne County, KS"	"20141"	0	3421	Unreliable
	"Ottawa County, KS"	"20143"	0	5704	Unreliable
	"Pawnee County, KS"	"20145"	0	6414	Unreliable
	"Phillips County, KS"	"20147"	0	5234	Unreliable
	"Pottawatomie County, KS"	"20149"	0	24383	Unreliable
	"Pratt County, KS"	"20151"	0	9164	Unreliable
	"Rawlins County, KS"	"20153"	Suppressed	2530	Suppressed
	"Reno County, KS"	"20155"	Suppressed	61998	Suppressed
	"Republic County, KS"	"20157"	0	4636	Unreliable
	"Rice County, KS"	"20159"	Suppressed	9537	Suppressed
	"Riley County, KS"	"20161"	0	74232	Unreliable
	"Rooks County, KS"	"20163"	Suppressed	4920	Suppressed
	"Rush County, KS"	"20165"	0	3036	Unreliable
	"Russell County, KS"	"20167"	0	6856	Unreliable
	"Saline County, KS"	"20169"	Suppressed	54224	Suppressed
	"Scott County, KS"	"20171"	0	4823	Unreliable
	"Sedgwick County, KS"	"20173"	25	516042	4.8
	"Seward County, KS"	"20175"	Suppressed	21428	Suppressed
	"Shawnee County, KS"	"20177"	11	176875	Unreliable
	"Sheridan County, KS"	"20179"	0	2521	Unreliable
	"Sherman County, KS"	"20181"	0	5917	Unreliable
	"Smith County, KS"	"20183"	0	3583	Unreliable
	"Stafford County, KS"	"20185"	0	4156	Unreliable
	"Stanton County, KS"	"20187"	0	2006	Unreliable
	"Stevens County, KS"	"20189"	0	5485	Unreliable
	"Sumner County, KS"	"20191"	0	22836	Unreliable
	"Thomas County, KS"	"20193"	0	7777	Unreliable
	"Trego County, KS"	"20195"	0	2803	Unreliable
	"Wabaunsee County, KS"	"20197"	0	6931	Unreliable
	"Wallace County, KS"	"20199"	0	1518	Unreliable
	"Washington County, KS"	"20201"	0	5406	Unreliable
	"Wichita County, KS"	"20203"	Suppressed	2119	Suppressed
	"Wilson County, KS"	"20205"	0	8525	Unreliable
	"Woodson County, KS"	"20207"	0	3138	Unreliable
	"Wyandotte County, KS"	"20209"	24	165429	14.5
	"Adair County, KY"	"21001"	0	19202	Unreliable
	"Allen County, KY"	"21003"	Suppressed	21315	Suppressed
	"Anderson County, KY"	"21005"	Suppressed	22747	Suppressed
	"Ballard County, KY"	"21007"	0	7888	Unreliable
	"Barren County, KY"	"21009"	Suppressed	44249	Suppressed
	"Bath County, KY"	"21011"	0	12500	Unreliable
	"Bell County, KY"	"21013"	Suppressed	26032	Suppressed
	"Boone County, KY"	"21015"	0	133581	Unreliable
	"Bourbon County, KY"	"21017"	0	19788	Unreliable
	"Boyd County, KY"	"21019"	0	46718	Unreliable
	"Boyle County, KY"	"21021"	0	30060	Unreliable
	"Bracken County, KY"	"21023"	0	8303	Unreliable
	"Breathitt County, KY"	"21025"	Suppressed	12630	Suppressed
	"Breckinridge County, KY"	"21027"	0	20477	Unreliable
	"Bullitt County, KY"	"21029"	Suppressed	81676	Suppressed
	"Butler County, KY"	"21031"	0	12879	Unreliable
	"Caldwell County, KY"	"21033"	0	12747	Unreliable
	"Calloway County, KY"	"21035"	Suppressed	39001	Suppressed
	"Campbell County, KY"	"21037"	Suppressed	93584	Suppressed
	"Carlisle County, KY"	"21039"	0	4760	Unreliable
	"Carroll County, KY"	"21041"	0	10631	Unreliable
	"Carter County, KY"	"21043"	0	26797	Unreliable
	"Casey County, KY"	"21045"	0	16159	Unreliable
	"Christian County, KY"	"21047"	Suppressed	70461	Suppressed
	"Clark County, KY"	"21049"	0	36263	Unreliable
	"Clay County, KY"	"21051"	0	19901	Unreliable
	"Clinton County, KY"	"21053"	0	10218	Unreliable
	"Crittenden County, KY"	"21055"	0	8806	Unreliable
	"Cumberland County, KY"	"21057"	0	6614	Unreliable
	"Daviess County, KY"	"21059"	Suppressed	101511	Suppressed
	"Edmonson County, KY"	"21061"	Suppressed	12150	Suppressed
	"Elliott County, KY"	"21063"	0	7517	Unreliable
	"Estill County, KY"	"21065"	0	14106	Unreliable
	"Fayette County, KY"	"21067"	18	323152	Unreliable
	"Fleming County, KY"	"21069"	0	14581	Unreliable
	"Floyd County, KY"	"21071"	Suppressed	35589	Suppressed
	"Franklin County, KY"	"21073"	Suppressed	50991	Suppressed
	"Fulton County, KY"	"21075"	0	5969	Unreliable
	"Gallatin County, KY"	"21077"	0	8869	Unreliable
	"Garrard County, KY"	"21079"	0	17666	Unreliable
	"Grant County, KY"	"21081"	0	25069	Unreliable
	"Graves County, KY"	"21083"	Suppressed	37266	Suppressed
	"Grayson County, KY"	"21085"	Suppressed	26427	Suppressed
	"Green County, KY"	"21087"	Suppressed	10941	Suppressed
	"Greenup County, KY"	"21089"	Suppressed	35098	Suppressed
	"Hancock County, KY"	"21091"	0	8722	Unreliable
	"Hardin County, KY"	"21093"	Suppressed	110958	Suppressed
	"Harlan County, KY"	"21095"	0	26010	Unreliable
	"Harrison County, KY"	"21097"	0	18886	Unreliable
	"Hart County, KY"	"21099"	0	19035	Unreliable
	"Henderson County, KY"	"21101"	0	45210	Unreliable
	"Henry County, KY"	"21103"	Suppressed	16126	Suppressed
	"Hickman County, KY"	"21105"	0	4380	Unreliable
	"Hopkins County, KY"	"21107"	Suppressed	44686	Suppressed
	"Jackson County, KY"	"21109"	0	13329	Unreliable
	"Jefferson County, KY"	"21111"	87	766757	11.3
	"Jessamine County, KY"	"21113"	Suppressed	54115	Suppressed
	"Johnson County, KY"	"21115"	0	22188	Unreliable
	"Kenton County, KY"	"21117"	Suppressed	166998	Suppressed
	"Knott County, KY"	"21119"	0	14806	Unreliable
	"Knox County, KY"	"21121"	Suppressed	31145	Suppressed
	"Larue County, KY"	"21123"	Suppressed	14398	Suppressed
	"Laurel County, KY"	"21125"	Suppressed	60813	Suppressed
	"Lawrence County, KY"	"21127"	0	15317	Unreliable
	"Lee County, KY"	"21129"	0	7403	Unreliable
	"Leslie County, KY"	"21131"	Suppressed	9877	Suppressed
	"Letcher County, KY"	"21133"	Suppressed	21553	Suppressed
	"Lewis County, KY"	"21135"	0	13275	Unreliable
	"Lincoln County, KY"	"21137"	0	24549	Unreliable
	"Livingston County, KY"	"21139"	0	9194	Unreliable
	"Logan County, KY"	"21141"	0	27102	Unreliable
	"Lyon County, KY"	"21143"	0	8210	Unreliable
	"McCracken County, KY"	"21145"	Suppressed	65418	Suppressed
	"McCreary County, KY"	"21147"	Suppressed	17231	Suppressed
	"McLean County, KY"	"21149"	0	9207	Unreliable
	"Madison County, KY"	"21151"	0	92987	Unreliable
	"Magoffin County, KY"	"21153"	0	12161	Unreliable
	"Marion County, KY"	"21155"	Suppressed	19273	Suppressed
	"Marshall County, KY"	"21157"	0	31100	Unreliable
	"Martin County, KY"	"21159"	0	11195	Unreliable
	"Mason County, KY"	"21161"	0	17070	Unreliable
	"Meade County, KY"	"21163"	0	28572	Unreliable
	"Menifee County, KY"	"21165"	0	6489	Unreliable
	"Mercer County, KY"	"21167"	0	21933	Unreliable
	"Metcalfe County, KY"	"21169"	0	10071	Unreliable
	"Monroe County, KY"	"21171"	0	10650	Unreliable
	"Montgomery County, KY"	"21173"	Suppressed	28157	Suppressed
	"Morgan County, KY"	"21175"	0	13309	Unreliable
	"Muhlenberg County, KY"	"21177"	Suppressed	30622	Suppressed
	"Nelson County, KY"	"21179"	0	46233	Unreliable
	"Nicholas County, KY"	"21181"	0	7269	Unreliable
	"Ohio County, KY"	"21183"	Suppressed	23994	Suppressed
	"Oldham County, KY"	"21185"	0	66799	Unreliable
	"Owen County, KY"	"21187"	0	10901	Unreliable
	"Owsley County, KY"	"21189"	0	4415	Unreliable
	"Pendleton County, KY"	"21191"	0	14590	Unreliable
	"Perry County, KY"	"21193"	Suppressed	25758	Suppressed
	"Pike County, KY"	"21195"	Suppressed	57876	Suppressed
	"Powell County, KY"	"21197"	0	12359	Unreliable
	"Pulaski County, KY"	"21199"	Suppressed	64979	Suppressed
	"Robertson County, KY"	"21201"	0	2108	Unreliable
	"Rockcastle County, KY"	"21203"	0	16695	Unreliable
	"Rowan County, KY"	"21205"	0	24460	Unreliable
	"Russell County, KY"	"21207"	0	17923	Unreliable
	"Scott County, KY"	"21209"	Suppressed	57004	Suppressed
	"Shelby County, KY"	"21211"	Suppressed	49024	Suppressed
	"Simpson County, KY"	"21213"	Suppressed	18572	Suppressed
	"Spencer County, KY"	"21215"	0	19351	Unreliable
	"Taylor County, KY"	"21217"	Suppressed	25769	Suppressed
	"Todd County, KY"	"21219"	Suppressed	12294	Suppressed
	"Trigg County, KY"	"21221"	0	14651	Unreliable
	"Trimble County, KY"	"21223"	Suppressed	8471	Suppressed
	"Union County, KY"	"21225"	0	14381	Unreliable
	"Warren County, KY"	"21227"	Suppressed	132896	Suppressed
	"Washington County, KY"	"21229"	0	12095	Unreliable
	"Wayne County, KY"	"21231"	Suppressed	20333	Suppressed
	"Webster County, KY"	"21233"	0	12942	Unreliable
	"Whitley County, KY"	"21235"	Suppressed	36264	Suppressed
	"Wolfe County, KY"	"21237"	Suppressed	7157	Suppressed
	"Woodford County, KY"	"21239"	Suppressed	26734	Suppressed
	"Acadia Parish, LA"	"22001"	Suppressed	62045	Suppressed
	"Allen Parish, LA"	"22003"	0	25627	Unreliable
	"Ascension Parish, LA"	"22005"	Suppressed	126604	Suppressed
	"Assumption Parish, LA"	"22007"	Suppressed	21891	Suppressed
	"Avoyelles Parish, LA"	"22009"	Suppressed	40144	Suppressed
	"Beauregard Parish, LA"	"22011"	Suppressed	37497	Suppressed
	"Bienville Parish, LA"	"22013"	Suppressed	13241	Suppressed
	"Bossier Parish, LA"	"22015"	Suppressed	127039	Suppressed
	"Caddo Parish, LA"	"22017"	42	240204	17.5
	"Calcasieu Parish, LA"	"22019"	15	203436	Unreliable
	"Caldwell Parish, LA"	"22021"	Suppressed	9918	Suppressed
	"Cameron Parish, LA"	"22023"	0	6973	Unreliable
	"Catahoula Parish, LA"	"22025"	0	9494	Unreliable
	"Claiborne Parish, LA"	"22027"	Suppressed	15670	Suppressed
	"Concordia Parish, LA"	"22029"	Suppressed	19259	Suppressed
	"De Soto Parish, LA"	"22031"	Suppressed	27463	Suppressed
	"East Baton Rouge Parish, LA"	"22033"	95	440059	21.6
	"East Carroll Parish, LA"	"22035"	Suppressed	6861	Suppressed
	"East Feliciana Parish, LA"	"22037"	Suppressed	19135	Suppressed
	"Evangeline Parish, LA"	"22039"	Suppressed	33395	Suppressed
	"Franklin Parish, LA"	"22041"	Suppressed	20015	Suppressed
	"Grant Parish, LA"	"22043"	0	22389	Unreliable
	"Iberia Parish, LA"	"22045"	Suppressed	69830	Suppressed
	"Iberville Parish, LA"	"22047"	Suppressed	32511	Suppressed
	"Jackson Parish, LA"	"22049"	Suppressed	15744	Suppressed
	"Jefferson Parish, LA"	"22051"	58	432493	13.4
	"Jefferson Davis Parish, LA"	"22053"	Suppressed	31368	Suppressed
	"Lafayette Parish, LA"	"22055"	15	244390	Unreliable
	"Lafourche Parish, LA"	"22057"	Suppressed	97614	Suppressed
	"LaSalle Parish, LA"	"22059"	0	14892	Unreliable
	"Lincoln Parish, LA"	"22061"	Suppressed	46742	Suppressed
	"Livingston Parish, LA"	"22063"	11	140789	Unreliable
	"Madison Parish, LA"	"22065"	Suppressed	10951	Suppressed
	"Morehouse Parish, LA"	"22067"	Suppressed	24874	Suppressed
	"Natchitoches Parish, LA"	"22069"	Suppressed	38158	Suppressed
	"Orleans Parish, LA"	"22071"	107	390144	27.4
	"Ouachita Parish, LA"	"22073"	20	153279	13.0
	"Plaquemines Parish, LA"	"22075"	0	23197	Unreliable
	"Pointe Coupee Parish, LA"	"22077"	Suppressed	21730	Suppressed
	"Rapides Parish, LA"	"22079"	11	129648	Unreliable
	"Red River Parish, LA"	"22081"	0	8442	Unreliable
	"Richland Parish, LA"	"22083"	Suppressed	20122	Suppressed
	"Sabine Parish, LA"	"22085"	Suppressed	23884	Suppressed
	"St. Bernard Parish, LA"	"22087"	Suppressed	47244	Suppressed
	"St. Charles Parish, LA"	"22089"	Suppressed	53100	Suppressed
	"St. Helena Parish, LA"	"22091"	Suppressed	10132	Suppressed
	"St. James Parish, LA"	"22093"	Suppressed	21096	Suppressed
	"St. John the Baptist Parish, LA"	"22095"	10	42837	Unreliable
	"St. Landry Parish, LA"	"22097"	11	82124	Unreliable
	"St. Martin Parish, LA"	"22099"	Suppressed	53431	Suppressed
	"St. Mary Parish, LA"	"22101"	Suppressed	49348	Suppressed
	"St. Tammany Parish, LA"	"22103"	Suppressed	260419	Suppressed
	"Tangipahoa Parish, LA"	"22105"	11	134758	Unreliable
	"Tensas Parish, LA"	"22107"	0	4334	Unreliable
	"Terrebonne Parish, LA"	"22109"	13	110461	Unreliable
	"Union Parish, LA"	"22111"	Suppressed	22108	Suppressed
	"Vermilion Parish, LA"	"22113"	Suppressed	59511	Suppressed
	"Vernon Parish, LA"	"22115"	0	47429	Unreliable
	"Washington Parish, LA"	"22117"	Suppressed	46194	Suppressed
	"Webster Parish, LA"	"22119"	Suppressed	38340	Suppressed
	"West Baton Rouge Parish, LA"	"22121"	Suppressed	26465	Suppressed
	"West Carroll Parish, LA"	"22123"	Suppressed	10830	Suppressed
	"West Feliciana Parish, LA"	"22125"	0	15568	Unreliable
	"Winn Parish, LA"	"22127"	Suppressed	13904	Suppressed
	"Androscoggin County, ME"	"23001"	Suppressed	108277	Suppressed
	"Aroostook County, ME"	"23003"	Suppressed	67055	Suppressed
	"Cumberland County, ME"	"23005"	Suppressed	295003	Suppressed
	"Franklin County, ME"	"23007"	0	30199	Unreliable
	"Hancock County, ME"	"23009"	0	54987	Unreliable
	"Kennebec County, ME"	"23011"	Suppressed	122302	Suppressed
	"Knox County, ME"	"23013"	0	39772	Unreliable
	"Lincoln County, ME"	"23015"	0	34634	Unreliable
	"Oxford County, ME"	"23017"	Suppressed	57975	Suppressed
	"Penobscot County, ME"	"23019"	Suppressed	152148	Suppressed
	"Piscataquis County, ME"	"23021"	0	16785	Unreliable
