"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	56145	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	229287	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	24589	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22136	Suppressed
	"Blount County, AL"	"01009"	Suppressed	57879	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	9976	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19504	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	113469	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	32865	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	26294	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	44397	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	12418	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	23291	Suppressed
	"Clay County, AL"	"01027"	0	13112	Unreliable
	"Cleburne County, AL"	"01029"	Suppressed	14967	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	53230	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	55411	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	11851	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10650	Suppressed
	"Covington County, AL"	"01039"	Suppressed	36930	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13681	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	84515	Suppressed
	"Dale County, AL"	"01045"	Suppressed	48959	Suppressed
	"Dallas County, AL"	"01047"	11	36098	Unreliable
	"DeKalb County, AL"	"01049"	Suppressed	71658	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	82158	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	36281	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	102371	Suppressed
	"Fayette County, AL"	"01057"	0	16241	Unreliable
	"Franklin County, AL"	"01059"	Suppressed	31507	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26411	Suppressed
	"Greene County, AL"	"01063"	Suppressed	7990	Suppressed
	"Hale County, AL"	"01065"	Suppressed	14670	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17223	Suppressed
	"Houston County, AL"	"01069"	Suppressed	106580	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	51582	Suppressed
	"Jefferson County, AL"	"01073"	151	655342	23.0
	"Lamar County, AL"	"01075"	0	13764	Unreliable
	"Lauderdale County, AL"	"01077"	Suppressed	93368	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	32857	Suppressed
	"Lee County, AL"	"01081"	Suppressed	166831	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	102228	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	9641	Suppressed
	"Macon County, AL"	"01087"	Suppressed	17895	Suppressed
	"Madison County, AL"	"01089"	18	379453	Unreliable
	"Marengo County, AL"	"01091"	Suppressed	18733	Suppressed
	"Marion County, AL"	"01093"	Suppressed	29703	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	96990	Suppressed
	"Mobile County, AL"	"01097"	66	412716	16.0
	"Monroe County, AL"	"01099"	Suppressed	20459	Suppressed
	"Montgomery County, AL"	"01101"	66	224639	29.4
	"Morgan County, AL"	"01103"	21	119883	17.5
	"Perry County, AL"	"01105"	Suppressed	8687	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19793	Suppressed
	"Pike County, AL"	"01109"	Suppressed	32966	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22920	Suppressed
	"Russell County, AL"	"01113"	Suppressed	58237	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	90739	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	221428	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	12225	Suppressed
	"Talladega County, AL"	"01121"	20	79985	25.0
	"Tallapoosa County, AL"	"01123"	Suppressed	40133	Suppressed
	"Tuscaloosa County, AL"	"01125"	16	210758	Unreliable
	"Walker County, AL"	"01127"	Suppressed	63143	Suppressed
	"Washington County, AL"	"01129"	Suppressed	15976	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	10206	Suppressed
	"Winston County, AL"	"01133"	Suppressed	23508	Suppressed
	"Aleutians East Borough, AK"	"02013"	0	3401	Unreliable
	"Aleutians West Census Area, AK"	"02016"	0	5680	Unreliable
	"Anchorage Borough, AK"	"02020"	13	287095	Unreliable
	"Bethel Census Area, AK"	"02050"	0	18437	Unreliable
	"Bristol Bay Borough, AK"	"02060"	0	788	Unreliable
	"Denali Borough, AK"	"02068"	0	2081	Unreliable
	"Dillingham Census Area, AK"	"02070"	Suppressed	4833	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	0	95651	Unreliable
	"Haines Borough, AK"	"02100"	0	2614	Unreliable
	"Hoonah-Angoon Census Area, AK"	"02105"	0	2141	Unreliable
	"Juneau Borough, AK"	"02110"	0	31849	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	59414	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	0	13747	Unreliable
	"Kodiak Island Borough, AK"	"02150"	0	12992	Unreliable
	"Lake and Peninsula Borough, AK"	"02164"	0	1493	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	110213	Suppressed
	"Nome Census Area, AK"	"02180"	0	9909	Unreliable
	"North Slope Borough, AK"	"02185"	Suppressed	9294	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	0	7644	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	0	3296	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	0	6147	Unreliable
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	0	8405	Unreliable
	"Skagway Municipality, AK"	"02230"	0	1179	Unreliable
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	0	6957	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	0	0	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	0	8328	Unreliable
	"Wrangell City and Borough, AK"	"02275"	0	2510	Unreliable
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	0	637	Unreliable
	"Yukon-Koyukuk Census Area, AK"	"02290"	0	5077	Unreliable
	"Apache County, AZ"	"04001"	Suppressed	71875	Suppressed
	"Cochise County, AZ"	"04003"	Suppressed	127450	Suppressed
	"Coconino County, AZ"	"04005"	Suppressed	142481	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	54303	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	39211	Suppressed
	"Greenlee County, AZ"	"04011"	0	9341	Unreliable
	"La Paz County, AZ"	"04012"	0	21480	Unreliable
	"Maricopa County, AZ"	"04013"	249	4579081	5.4
	"Mohave County, AZ"	"04015"	12	217206	Unreliable
	"Navajo County, AZ"	"04017"	19	112112	Unreliable
	"Pima County, AZ"	"04019"	56	1061175	5.3
	"Pinal County, AZ"	"04021"	17	480828	Unreliable
	"Santa Cruz County, AZ"	"04023"	Suppressed	46808	Suppressed
	"Yavapai County, AZ"	"04025"	Suppressed	240226	Suppressed
	"Yuma County, AZ"	"04027"	Suppressed	217824	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	17383	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	19339	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	42242	Suppressed
	"Benton County, AR"	"05007"	Suppressed	288774	Suppressed
	"Boone County, AR"	"05009"	Suppressed	37625	Suppressed
	"Bradley County, AR"	"05011"	0	10639	Unreliable
	"Calhoun County, AR"	"05013"	0	5113	Unreliable
	"Carroll County, AR"	"05015"	Suppressed	28276	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	9924	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22103	Suppressed
	"Clay County, AR"	"05021"	Suppressed	14375	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	24935	Suppressed
	"Cleveland County, AR"	"05025"	0	7957	Unreliable
	"Columbia County, AR"	"05027"	Suppressed	23331	Suppressed
	"Conway County, AR"	"05029"	0	21037	Unreliable
	"Craighead County, AR"	"05031"	Suppressed	112245	Suppressed
	"Crawford County, AR"	"05033"	Suppressed	63409	Suppressed
	"Crittenden County, AR"	"05035"	Suppressed	47616	Suppressed
	"Cross County, AR"	"05037"	Suppressed	16142	Suppressed
	"Dallas County, AR"	"05039"	0	6802	Unreliable
	"Desha County, AR"	"05041"	Suppressed	11110	Suppressed
	"Drew County, AR"	"05043"	Suppressed	17977	Suppressed
	"Faulkner County, AR"	"05045"	Suppressed	126919	Suppressed
	"Franklin County, AR"	"05047"	0	17897	Unreliable
	"Fulton County, AR"	"05049"	0	12381	Unreliable
	"Garland County, AR"	"05051"	17	99789	Unreliable
	"Grant County, AR"	"05053"	0	18449	Unreliable
	"Greene County, AR"	"05055"	Suppressed	45597	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	21253	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	33787	Suppressed
	"Howard County, AR"	"05061"	Suppressed	13109	Suppressed
	"Independence County, AR"	"05063"	Suppressed	37757	Suppressed
	"Izard County, AR"	"05065"	0	13613	Unreliable
	"Jackson County, AR"	"05067"	0	16636	Unreliable
	"Jefferson County, AR"	"05069"	24	65377	36.7
	"Johnson County, AR"	"05071"	0	26513	Unreliable
	"Lafayette County, AR"	"05073"	Suppressed	6596	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	16410	Suppressed
	"Lee County, AR"	"05077"	Suppressed	8513	Suppressed
	"Lincoln County, AR"	"05079"	0	12944	Unreliable
	"Little River County, AR"	"05081"	Suppressed	12180	Suppressed
	"Logan County, AR"	"05083"	Suppressed	21410	Suppressed
	"Lonoke County, AR"	"05085"	Suppressed	73921	Suppressed
	"Madison County, AR"	"05087"	Suppressed	16644	Suppressed
	"Marion County, AR"	"05089"	Suppressed	16790	Suppressed
	"Miller County, AR"	"05091"	Suppressed	43177	Suppressed
	"Mississippi County, AR"	"05093"	16	40066	Unreliable
	"Monroe County, AR"	"05095"	Suppressed	6584	Suppressed
	"Montgomery County, AR"	"05097"	0	9006	Unreliable
	"Nevada County, AR"	"05099"	0	8099	Unreliable
	"Newton County, AR"	"05101"	0	7602	Unreliable
	"Ouachita County, AR"	"05103"	Suppressed	23167	Suppressed
	"Perry County, AR"	"05105"	0	10327	Unreliable
	"Phillips County, AR"	"05107"	14	17299	Unreliable
	"Pike County, AR"	"05109"	0	10643	Unreliable
	"Poinsett County, AR"	"05111"	Suppressed	23283	Suppressed
	"Polk County, AR"	"05113"	0	19707	Unreliable
	"Pope County, AR"	"05115"	Suppressed	64334	Suppressed
	"Prairie County, AR"	"05117"	0	7966	Unreliable
	"Pulaski County, AR"	"05119"	77	392980	19.6
	"Randolph County, AR"	"05121"	Suppressed	18247	Suppressed
	"St. Francis County, AR"	"05123"	Suppressed	24682	Suppressed
	"Saline County, AR"	"05125"	Suppressed	123968	Suppressed
	"Scott County, AR"	"05127"	0	10164	Unreliable
	"Searcy County, AR"	"05129"	0	7842	Unreliable
	"Sebastian County, AR"	"05131"	Suppressed	127590	Suppressed
	"Sevier County, AR"	"05133"	0	16702	Unreliable
	"Sharp County, AR"	"05135"	0	17424	Unreliable
	"Stone County, AR"	"05137"	0	12674	Unreliable
	"Union County, AR"	"05139"	Suppressed	38219	Suppressed
	"Van Buren County, AR"	"05141"	0	16541	Unreliable
	"Washington County, AR"	"05143"	Suppressed	243216	Suppressed
	"White County, AR"	"05145"	Suppressed	78729	Suppressed
	"Woodruff County, AR"	"05147"	0	6264	Unreliable
	"Yell County, AR"	"05149"	0	21181	Unreliable
	"Alameda County, CA"	"06001"	117	1662323	7.0
	"Alpine County, CA"	"06003"	Suppressed	1119	Suppressed
	"Amador County, CA"	"06005"	Suppressed	40083	Suppressed
	"Butte County, CA"	"06007"	Suppressed	212744	Suppressed
	"Calaveras County, CA"	"06009"	0	46308	Unreliable
	"Colusa County, CA"	"06011"	0	21558	Unreliable
	"Contra Costa County, CA"	"06013"	56	1152333	4.9
	"Del Norte County, CA"	"06015"	Suppressed	27968	Suppressed
	"El Dorado County, CA"	"06017"	Suppressed	192925	Suppressed
	"Fresno County, CA"	"06019"	91	1000918	9.1
	"Glenn County, CA"	"06021"	0	28283	Unreliable
	"Humboldt County, CA"	"06023"	Suppressed	134977	Suppressed
	"Imperial County, CA"	"06025"	Suppressed	180267	Suppressed
	"Inyo County, CA"	"06027"	0	18046	Unreliable
	"Kern County, CA"	"06029"	102	901362	11.3
	"Kings County, CA"	"06031"	Suppressed	152692	Suppressed
	"Lake County, CA"	"06033"	Suppressed	64479	Suppressed
	"Lassen County, CA"	"06035"	0	30016	Unreliable
	"Los Angeles County, CA"	"06037"	524	9943046	5.3
	"Madera County, CA"	"06039"	12	157761	Unreliable
	"Marin County, CA"	"06041"	Suppressed	257332	Suppressed
	"Mariposa County, CA"	"06043"	0	17160	Unreliable
	"Mendocino County, CA"	"06045"	Suppressed	86061	Suppressed
	"Merced County, CA"	"06047"	24	279252	8.6
	"Modoc County, CA"	"06049"	Suppressed	8763	Suppressed
	"Mono County, CA"	"06051"	0	14534	Unreliable
	"Monterey County, CA"	"06053"	16	430906	Unreliable
	"Napa County, CA"	"06055"	Suppressed	135965	Suppressed
	"Nevada County, CA"	"06057"	Suppressed	99606	Suppressed
	"Orange County, CA"	"06059"	45	3166857	1.4
	"Placer County, CA"	"06061"	Suppressed	402950	Suppressed
	"Plumas County, CA"	"06063"	0	18967	Unreliable
	"Riverside County, CA"	"06065"	112	2489188	4.5
	"Sacramento County, CA"	"06067"	89	1559146	5.7
	"San Benito County, CA"	"06069"	Suppressed	64055	Suppressed
	"San Bernardino County, CA"	"06071"	147	2189183	6.7
	"San Diego County, CA"	"06073"	71	3332427	2.1
	"San Francisco County, CA"	"06075"	31	866606	3.6
	"San Joaquin County, CA"	"06077"	65	767967	8.5
	"San Luis Obispo County, CA"	"06079"	Suppressed	282249	Suppressed
	"San Mateo County, CA"	"06081"	10	758308	Unreliable
	"Santa Barbara County, CA"	"06083"	Suppressed	444766	Suppressed
	"Santa Clara County, CA"	"06085"	33	1907105	1.7
	"Santa Cruz County, CA"	"06087"	Suppressed	269925	Suppressed
	"Shasta County, CA"	"06089"	Suppressed	179027	Suppressed
	"Sierra County, CA"	"06091"	0	2920	Unreliable
	"Siskiyou County, CA"	"06093"	0	43245	Unreliable
	"Solano County, CA"	"06095"	30	446935	6.7
	"Sonoma County, CA"	"06097"	Suppressed	489819	Suppressed
	"Stanislaus County, CA"	"06099"	17	550081	Unreliable
