"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	55601	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	218022	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	24881	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22400	Suppressed
	"Blount County, AL"	"01009"	Suppressed	57840	Suppressed
	"Bullock County, AL"	"01011"	0	10138	Unreliable
	"Butler County, AL"	"01013"	Suppressed	19680	Suppressed
	"Calhoun County, AL"	"01015"	13	114277	Unreliable
	"Chambers County, AL"	"01017"	Suppressed	33615	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	26032	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	44153	Suppressed
	"Choctaw County, AL"	"01023"	0	12841	Unreliable
	"Clarke County, AL"	"01025"	0	23920	Unreliable
	"Clay County, AL"	"01027"	Suppressed	13275	Suppressed
	"Cleburne County, AL"	"01029"	0	14987	Unreliable
	"Coffee County, AL"	"01031"	Suppressed	51909	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54762	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12277	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10715	Suppressed
	"Covington County, AL"	"01039"	Suppressed	36986	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13824	Suppressed
	"Cullman County, AL"	"01043"	0	83442	Unreliable
	"Dale County, AL"	"01045"	Suppressed	48956	Suppressed
	"Dallas County, AL"	"01047"	17	38310	Unreliable
	"DeKalb County, AL"	"01049"	Suppressed	71385	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	81887	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	36748	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	102501	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	16433	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31363	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26314	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8233	Suppressed
	"Hale County, AL"	"01065"	0	14726	Unreliable
	"Henry County, AL"	"01067"	Suppressed	17209	Suppressed
	"Houston County, AL"	"01069"	Suppressed	104722	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	51736	Suppressed
	"Jefferson County, AL"	"01073"	139	659300	21.1
