"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	55416	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	208563	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	25965	Suppressed
	"Bibb County, AL"	"01007"	0	22643	Unreliable
	"Blount County, AL"	"01009"	Suppressed	57704	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	10362	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19998	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	114611	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	33843	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25725	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	43941	Suppressed
	"Choctaw County, AL"	"01023"	0	12993	Unreliable
	"Clarke County, AL"	"01025"	Suppressed	24392	Suppressed
	"Clay County, AL"	"01027"	0	13492	Unreliable
	"Cleburne County, AL"	"01029"	0	14924	Unreliable
	"Coffee County, AL"	"01031"	Suppressed	51226	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54216	Suppressed
	"Conecuh County, AL"	"01035"	0	12395	Unreliable
	"Coosa County, AL"	"01037"	0	10581	Unreliable
	"Covington County, AL"	"01039"	0	37458	Unreliable
	"Crenshaw County, AL"	"01041"	Suppressed	13913	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	82471	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49226	Suppressed
	"Dallas County, AL"	"01047"	17	40008	Unreliable
	"DeKalb County, AL"	"01049"	Suppressed	70900	Suppressed
	"Elmore County, AL"	"01051"	11	81799	Unreliable
	"Escambia County, AL"	"01053"	Suppressed	37728	Suppressed
	"Etowah County, AL"	"01055"	10	102564	Unreliable
	"Fayette County, AL"	"01057"	0	16546	Unreliable
	"Franklin County, AL"	"01059"	Suppressed	31628	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26614	Suppressed
	"Greene County, AL"	"01063"	0	8422	Unreliable
	"Hale County, AL"	"01065"	Suppressed	14952	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17164	Suppressed
	"Houston County, AL"	"01069"	Suppressed	104056	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	52138	Suppressed
	"Jefferson County, AL"	"01073"	122	659521	18.5
	"Lamar County, AL"	"01075"	Suppressed	13918	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	92318	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	33244	Suppressed
	"Lee County, AL"	"01081"	19	158991	Unreliable
	"Limestone County, AL"	"01083"	Suppressed	92753	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	10358	Suppressed
	"Macon County, AL"	"01087"	Suppressed	18963	Suppressed
	"Madison County, AL"	"01089"	16	356967	Unreliable
	"Marengo County, AL"	"01091"	Suppressed	19673	Suppressed
	"Marion County, AL"	"01093"	Suppressed	29998	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	95157	Suppressed
	"Mobile County, AL"	"01097"	69	414836	16.6
	"Monroe County, AL"	"01099"	Suppressed	21530	Suppressed
	"Montgomery County, AL"	"01101"	37	226349	16.3
	"Morgan County, AL"	"01103"	10	119012	Unreliable
	"Perry County, AL"	"01105"	Suppressed	9574	Suppressed
	"Pickens County, AL"	"01107"	0	20324	Unreliable
	"Pike County, AL"	"01109"	Suppressed	33286	Suppressed
	"Randolph County, AL"	"01111"	0	22652	Unreliable
	"Russell County, AL"	"01113"	Suppressed	58172	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	88019	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	210622	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	13040	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	80103	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	40727	Suppressed
	"Tuscaloosa County, AL"	"01125"	13	206102	Unreliable
	"Walker County, AL"	"01127"	Suppressed	64967	Suppressed
	"Washington County, AL"	"01129"	Suppressed	16756	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	10986	Suppressed
	"Winston County, AL"	"01133"	Suppressed	23805	Suppressed
	"Aleutians East Borough, AK"	"02013"	0	3296	Unreliable
	"Aleutians West Census Area, AK"	"02016"	0	5647	Unreliable
	"Anchorage Borough, AK"	"02020"	27	298192	9.1
	"Bethel Census Area, AK"	"02050"	0	17968	Unreliable
	"Bristol Bay Borough, AK"	"02060"	0	898	Unreliable
	"Denali Borough, AK"	"02068"	0	1953	Unreliable
	"Dillingham Census Area, AK"	"02070"	0	4954	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	100605	Suppressed
	"Haines Borough, AK"	"02100"	0	2496	Unreliable
	"Hoonah-Angoon Census Area, AK"	"02105"	0	2078	Unreliable
